No,Short Code,Initial Sites,Co-Located Site Code,Co-Located Site Name,OMC Name,BSC/RNC,Long Code,Area,Zone,Office,Site Type,Site Category,HO / On Air Date,Generator,Generator Serial Number,Site Severity,MSP,VIP
569,0094AL,Initial,,,MOHAFZA,MANSHIA01,C15_0094AL_PH2,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
570,0913AL,Initial,,,ASAFRA-3,NA,C1_0913AL_PH17,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
571,0417AL,Initial,,,S_AWAYED-TRAIN_0417AL,NEWAWAYED02,C6_0417AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
572,0152AL,Initial,,,S_AWAYED-EST_0152AL,NEWAWAYED01,C7_0152AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
573,1028AL,Initial,,,CARREFOUR ,SEMOUHA02,C1_1028AL_PH07,Alex,Alex,SEMOUHA,Outdoor Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
574,0426AL,Initial,,,G_INT-RD1_0426AL,NEWAWAYED02,C1_0426AL_PH09,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,Cont.,CD3029B150708,Silver,Nokia,
575,3209DE,Initial,,,BH-BAYDA-ENT,NEWAWAYED02,C1_3209DE_PH12,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
576,2738AL,Initial,,,M-KARMOZ-2,MANSHIA02,C3_2738AL_PH16,Alex,Alex,SEMOUHA,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
577,1063AL,Initial,,,I-MSC,SEMOUHA02,C1_1063AL_PH13,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
578,0190AL,Initial,,,V_FREMON_0190AL,NEWAWAYED02,C4_0190AL_PH03,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
579,2004AL,Initial,,,30_MICRO_BALBAA_DXX_O2,MIAMI01,C3_2004AL_PH03,Alex,Alex,GLEEM,Micro Site,Micro,2025-06-01 00:00:00,,,Bronze,Nokia,
580,0700AL,Initial,,,AMAN-BRDG,NEWAWAYED02,C1_0700AL_PH13,Alex,Alex,SEMOUHA,Outdoor Site,Macro,2025-06-01 00:00:00,,,Bronze,Nokia,
581,0500AL,Initial,,,17_S_TOUSON1_0500AL_SSS0,MAMOURA01,C1_0500AL_PH09,Alex,Alex,GLEEM,Outdoor Site,Macro,2025-06-01 00:00:00,,,Silver,Nokia,
